CHSI_County_Name,CHSI_State_Name,Strata_ID_Number,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare (elderly age 65+),Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
Autauga,Alabama,29,27.8,78.6,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,1,2
Baldwin,Alabama,16,27.2,76.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,1,2
Barbour,Alabama,51,-1111.1,-1111.1,25.6,-1111.1,17.7,6.6,5126,3288,1092,45.8,24.6,1,2
Bibb,Alabama,42,-1111.1,86.6,-1111.1,-1111.1,-1111.1,13.1,3315,2390,974,41.8,18.6,1,1
Blount,Alabama,28,33.5,74.6,24.2,-1111.1,23.6,8.4,8131,5019,1300,16.2,10.8,2,1
Bullock,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2295,1433,504,54.3,18.1,1,1
Butler,Alabama,76,24.5,-1111.1,22,-1111.1,27.3,9.5,4055,3150,952,43.3,19.3,1,2
Calhoun,Alabama,6,29.2,81.9,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,1,2
Chambers,Alabama,50,34.7,84.6,-1111.1,-1111.1,11.7,17.1,5533,5473,1497,53.6,22.6,1,2
Cherokee,Alabama,64,-1111.1,-1111.1,-1111.1,-1111.1,23.6,13.3,3583,3086,854,28.5,12.2,2,1
Chilton,Alabama,32,30.3,82.8,31.2,26.5,30,6,6130,4527,1307,31.1,19.2,1,2
Choctaw,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,17.1,13.5,2677,2148,800,33.8,20.3,1,1
Clarke,Alabama,51,31.5,-1111.1,-1111.1,-1111.1,-1111.1,15.8,4593,3850,1150,55,29.3,2,2
Clay,Alabama,63,-1111.1,-1111.1,-1111.1,-1111.1,23.9,12.2,2320,2198,610,35.8,14.3,2,1
Cleburne,Alabama,41,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,2107,1852,646,0,6.9,2,1
Coffee,Alabama,32,23.3,-1111.1,25.5,31.3,23,10.3,6764,6099,1366,48.3,39.5,1,2
Colbert,Alabama,21,30.2,76.9,30.1,-1111.1,21.7,13.6,8141,8226,2302,60.4,31.1,1,2
Conecuh,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,12.3,8.2,2657,1947,725,60.3,7.5,1,1
Coosa,Alabama,41,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15,2028,1562,621,9,9,1,1
Covington,Alabama,35,28.8,-1111.1,30.2,-1111.1,27.8,12.1,6094,6401,1583,59.5,24.3,1,2
Crenshaw,Alabama,71,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2504,2272,568,14.6,14.6,1,1
Cullman,Alabama,21,29.4,76.2,22.2,35,27.6,10,11912,11129,2400,53.8,22.5,1,2
Dale,Alabama,33,30.4,79.5,25,-1111.1,29.3,12.1,7831,7809,2314,24.6,22.6,2,1
Dallas,Alabama,52,31.5,85.9,36.6,-1111.1,20.4,11.5,9242,6424,2302,101.4,38.3,1,2
DeKalb,Alabama,24,37,80.7,24.3,35.3,19.1,7.8,12260,8411,2351,34.2,19.3,1,2
Elmore,Alabama,19,27.7,85,24.8,23,22.6,5.5,8320,7792,2167,33.8,16.2,1,2
Escambia,Alabama,51,34.3,87.1,33.7,-1111.1,26.1,11.4,6490,5064,1476,57.8,26.3,1,2
Etowah,Alabama,6,34.1,81.4,27.1,38.2,31.5,10.2,16180,15265,4508,72.7,42.6,1,2
Fayette,Alabama,63,-1111.1,-1111.1,32.7,-1111.1,21.2,12.7,2358,2544,731,60.3,16.5,2,2
Franklin,Alabama,49,28.9,85.5,-1111.1,-1111.1,-1111.1,7.2,5977,4871,1320,35.8,22.8,1,2
Geneva,Alabama,64,-1111.1,-1111.1,34.5,-1111.1,-1111.1,9.4,4759,4173,1118,35,15.5,2,1
Greene,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.1,2384,1287,461,31.1,10.4,1,1
Hale,Alabama,76,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5.2,3422,2358,825,27.3,5.5,1,1
Henry,Alabama,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8,2556,2583,631,18.1,30.1,2,2
Houston,Alabama,23,32.9,77.7,29.5,34,25,8.8,14235,9901,2416,106.1,47.7,1,2
Jackson,Alabama,22,34,82.3,29.4,29.2,37,6.1,7294,7744,1978,70.8,29.8,1,2
Jefferson,Alabama,3,29,79.1,27.1,31.9,23.4,9.7,87428,89884,21625,154.9,71.5,1,2
Lamar,Alabama,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.2,2237,2648,702,13.4,20.1,2,2
Lauderdale,Alabama,21,25.8,77.1,23.8,34.7,21.1,6.7,11424,13168,3134,58.2,49,1,2
Lawrence,Alabama,32,31.9,85.2,19.9,-1111.1,28.5,9.2,5396,3526,1074,28.9,8.7,1,1
Lee,Alabama,22,25.9,74.9,21.7,24.5,27.1,7.8,17335,9041,2465,63.3,26,1,2
Limestone,Alabama,19,30.4,79.5,26,-1111.1,25,8.1,8934,7024,1778,39.7,15.6,1,2
Lowndes,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.6,2951,1326,507,15.3,7.6,1,2
Macon,Alabama,44,-1111.1,-1111.1,-1111.1,-1111.1,15.7,13.6,4325,2862,781,26.3,21.9,1,1
Madison,Alabama,4,22.9,75.6,23.1,24.9,21.3,6.5,35743,32428,5431,95.2,46.6,1,2
Marengo,Alabama,67,-1111.1,-1111.1,-1111.1,-1111.1,15.6,11.3,4074,2816,862,54.8,13.7,1,2
Marion,Alabama,49,-1111.1,84.8,30.9,-1111.1,-1111.1,10.1,5205,4619,1284,53.1,26.5,2,2
Marshall,Alabama,22,34.8,82.1,27.5,36.8,31.6,7.2,14593,12686,3083,63.1,33.9,2,2
Mobile,Alabama,5,30.8,76.2,26.6,27.2,25.1,6.6,65687,47123,12197,95.4,38.4,1,2
Monroe,Alabama,67,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.1,4269,3035,889,50.6,29.5,1,2
Montgomery,Alabama,7,28.2,75.6,23.9,27.8,20.7,8.5,32259,25495,6378,107.4,49.2,1,2
Morgan,Alabama,14,23.4,74.5,22.5,32.7,28.9,6.7,16097,14763,3367,76.5,41.3,1,2
Perry,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2776,1538,487,35.2,26.4,1,1
Pickens,Alabama,76,-1111.1,-1111.1,-1111.1,-1111.1,15.2,12.8,3606,3147,929,49.6,9.9,2,1
Pike,Alabama,35,24.2,-1111.1,29.1,-1111.1,16.5,11.3,5696,3917,1180,57.4,27,1,2
Randolph,Alabama,72,35.2,-1111.1,-1111.1,-1111.1,22.1,8.1,3575,3357,869,26.4,17.6,2,2
Russell,Alabama,8,32.8,-1111.1,28.9,-1111.1,22,9.7,8785,6799,1851,32.4,16.2,1,2
St. Clair,Alabama,22,28.2,79.7,27.6,39,28.5,13,8534,6538,2029,22.1,15.2,2,1
Shelby,Alabama,11,18.9,78.3,20.8,26.7,21,4.8,13249,10635,2661,95.6,28,1,2
Sumter,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.8,3465,1925,595,36.2,14.5,1,2
Talladega,Alabama,8,34.1,79.1,32.7,42.2,24.1,10.9,12378,10035,4300,38.5,21.1,1,2
Tallapoosa,Alabama,49,32.1,79.3,23.2,-1111.1,29.4,5.6,6488,5808,1749,61.4,34.4,1,2
Tuscaloosa,Alabama,6,27.1,79,25.3,29.7,23.8,7.9,23311,17734,5539,97.7,32,1,2
Walker,Alabama,24,34.9,79.3,30.5,35,33.8,11.5,10818,10991,3880,45.6,29.9,1,2
Washington,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,3037,2210,764,33.8,11.3,1,1
Wilcox,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.6,2960,1746,781,30.9,7.7,1,1
Winston,Alabama,41,-1111.1,-1111.1,28,-1111.1,26.9,8.5,4592,3642,1152,32.7,12.2,2,1
Aleutians East,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,488,-2222,-2222,73.7,0,1,1
Aleutians West,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,854,190,27,18.6,18.6,1,1
Anchorage,Alaska,9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,37239,15489,3874,107.3,78.9,1,2
Bethel,Alaska,86,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4088,804,142,75.9,58.4,1,2
Bristol Bay,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,153,339,73,0,0,1,2
Denali,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,276,-2222,-2222,0,0,1,1
Dillingham,Alaska,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1133,350,50,182.7,101.5,1,2
Fairbanks North Star,Alaska,17,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11681,4275,958,93.7,75.4,1,2
Haines,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,355,279,33,88,44,1,2
Juneau,Alaska,47,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3926,2367,502,122.6,67.8,1,2
Kenai Peninsula,Alaska,77,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8308,4150,942,78.9,40.4,1,2
Ketchikan Gateway,Alaska,37,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1804,1161,211,128.2,75.4,1,2
Kodiak Island,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2491,382,34,91.9,61.3,1,2
Lake and Peninsula,Alaska,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,395,-2222,-2222,0,0,1,1
Matanuska-Susitna,Alaska,77,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9561,3977,1006,46,32.9,1,2
Nome,Alaska,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1795,496,69,53.6,64.3,1,1
North Slope,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1202,298,62,57.8,43.3,1,1
Northwest Arctic,Alaska,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1291,348,51,39.4,39.4,1,1
Prince of Wales-Outer Ketchikan,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1176,401,74,35.3,53,1,1
Sitka,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1093,749,94,189.2,77.9,1,2
Skagway-Hoonah-Angoon,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,598,322,69,0,0,1,1
Southeast Fairbanks,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1306,451,85,30.2,60.5,2,1
Valdez-Cordova,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1551,634,114,50.5,30.3,1,2
Wade Hampton,Alaska,88,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2244,378,50,0,0,1,2
Wrangell-Petersburg,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1015,631,97,96.1,64.1,1,2
Yakutat,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,114,-2222,-2222,0,0,1,1
Yukon-Koyukuk,Alaska,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1300,493,71,16.3,16.3,1,1
Apache,Arizona,77,22.6,64.6,24.6,18.4,14.3,7.5,17218,5982,1204,51.9,23.1,1,2
Cochise,Arizona,7,22.8,72.7,23.8,26,20.2,9.1,23944,17099,2795,42,28.5,1,2
Coconino,Arizona,77,14.8,71,16.5,17.2,19.6,4.2,22678,11990,2218,87.2,58.9,1,2
Gila,Arizona,36,32.7,74.2,24.5,34.5,25.6,8.8,10361,9981,1679,75.5,27.1,2,2
Graham,Arizona,51,25.8,79.4,23.8,24.9,16.1,10.9,6343,3726,687,36.3,42.3,1,1
Greenlee,Arizona,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5,1082,907,160,39.9,13.3,1,1
La Paz,Arizona,88,26.6,83.4,22,-1111.1,18.1,8.3,4885,3324,477,34.6,9.9,2,1
Maricopa,Arizona,1,23.3,74.7,19.9,21.4,19.9,6.3,537647,337774,52336,69.8,33.5,1,2
Mohave,Arizona,6,27.9,77.6,25,30.6,29.4,7.5,31916,32200,5638,39,20.8,1,2
Navajo,Arizona,8,23.7,75.4,25.1,27.1,19.8,8.8,22206,10326,2233,49.8,24,1,2
Pima,Arizona,3,20.9,70.7,19.7,23.8,18.7,6.6,149746,115794,18764,93.1,38.2,1,2
Pinal,Arizona,7,26.9,73.8,26.7,28.3,21.8,10.6,33439,22222,4581,21.3,10,1,2
Santa Cruz,Arizona,51,36.9,66.8,20,20.4,18.1,7,11544,4595,534,45.2,16.7,1,1
Yavapai,Arizona,16,23.4,69.3,16,28.5,21.9,5.7,28886,33866,5176,63.4,32.2,1,2
Yuma,Arizona,7,26.7,73.5,25.7,26.8,16.2,9.2,45336,17942,2509,43.6,17.7,1,1
Arkansas,Arkansas,75,35.1,79.3,30.7,-1111.1,29.2,7.8,2858,3188,653,59.8,24.9,2,2
Ashley,Arkansas,68,35,88.8,30.2,28.9,29.7,7.7,3783,3354,909,60.4,34.5,1,2
Baxter,Arkansas,50,24.9,71.9,22.7,33.8,25.4,10.2,5191,9952,1597,84.3,34.7,2,2
Benton,Arkansas,13,22.3,77.4,21.5,25.4,21.4,5.8,22708,21636,3486,52.4,31,2,2
Boone,Arkansas,49,31.4,77.9,23.7,30.4,25.1,6.7,5033,5915,1642,95,44.7,2,2
Bradley,Arkansas,70,30.9,83.9,25.2,-1111.1,23.7,8.5,2467,1945,469,73.8,24.6,2,2
Calhoun,Arkansas,43,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.5,846,683,198,17.9,0,1,1
Carroll,Arkansas,64,28.7,75.7,21,-1111.1,28.5,5.1,5529,3851,742,55.6,22.2,2,2
Chicot,Arkansas,67,33.5,-1111.1,21.9,-1111.1,27.4,15.6,3200,2074,562,61.4,30.7,1,2
Clark,Arkansas,71,30,75,20.8,27.3,16.2,6.3,3575,3342,669,61.1,52.4,1,2
Clay,Arkansas,63,39.1,76.8,29.7,-1111.1,34.6,10.2,2567,3220,669,48.3,42.2,1,2
Cleburne,Arkansas,64,29.4,72.7,25.1,34.5,21.9,8.6,3723,4899,877,55.1,19.7,1,2
Cleveland,Arkansas,41,-1111.1,-1111.1,26.8,-1111.1,25.2,11.3,1173,1154,284,0,11.2,1,1
Columbia,Arkansas,35,27.5,84.6,23.8,-1111.1,23.2,9.2,3610,3903,959,60.7,44.5,2,2
Conway,Arkansas,43,29.9,87.2,26.5,32.7,32.2,4.9,3085,3639,1143,72.3,19.3,2,2
Craighead,Arkansas,22,29.9,77.7,29.1,27.3,25.1,6.2,11601,9544,2461,121.1,40.4,1,2
Crawford,Arkansas,33,27.5,82.6,21.1,27.5,27.5,5.8,9011,6240,2432,46.9,17.4,2,2
Crittenden,Arkansas,53,29.1,83,30,33.6,25,11.5,10083,4651,1525,38.5,34.7,1,2
Cross,Arkansas,68,35.8,79.1,30.2,-1111.1,32.8,9.6,3311,2404,617,26,41.6,1,2
Dallas,Arkansas,74,-1111.1,-1111.1,-1111.1,-1111.1,14.8,14.7,1540,1404,320,46.9,46.9,2,2
Desha,Arkansas,67,-1111.1,-1111.1,27.5,-1111.1,21.5,10.3,3217,2023,496,34.8,27.9,2,2
Drew,Arkansas,67,28.3,80.3,21.6,-1111.1,28.2,4.5,3227,2120,534,32.1,32.1,2,2
Faulkner,Arkansas,19,24.4,78.6,23.6,22.9,19.8,4.8,10687,8617,2020,63.8,30.9,2,2
Franklin,Arkansas,43,28.7,85.3,27.4,17.5,31.7,4.7,2780,2481,800,16.5,16.5,2,2
Fulton,Arkansas,70,25.9,81.4,27.6,-1111.1,30.9,6.8,2113,2291,681,50.3,16.8,2,2
Garland,Arkansas,24,25,76,22.3,33.3,28.3,8,14158,20137,2990,80.2,49.2,2,2
Grant,Arkansas,39,35.8,88.3,31.6,-1111.1,33.7,4,2038,1924,467,40.4,17.3,2,1
Greene,Arkansas,50,31.7,82.5,29.5,34.8,31.7,9.9,4636,5115,1383,58.4,22.8,2,2
Hempstead,Arkansas,76,29.8,78.2,24.4,-1111.1,26.2,10.3,4943,2849,666,42.8,29.9,1,2
Hot Spring,Arkansas,49,32.2,79.4,28.1,35.5,22.1,9.3,4327,4347,1036,38.4,16,2,2
Howard,Arkansas,43,34.2,-1111.1,26.1,-1111.1,25.9,12.7,2530,2185,484,48.1,34.4,2,2
Independence,Arkansas,32,30.8,78.8,26.9,31.6,26,7.2,4830,4880,1437,83.5,40.3,1,2
Izard,Arkansas,71,34.6,78,28.5,-1111.1,24.5,13.5,2219,2685,683,52.1,44.7,2,2
Jackson,Arkansas,72,41.3,85.6,31,-1111.1,24.4,8.1,3051,3500,951,90.9,34.1,1,2
Jefferson,Arkansas,8,29.1,81.8,27.4,34,23.3,9.8,13485,10139,2675,94.2,37.9,1,2
Johnson,Arkansas,64,26.7,81,20.3,-1111.1,29,8.6,4420,3133,867,74.9,25,2,2
Lafayette,Arkansas,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.2,1636,1242,345,37.4,12.5,1,1
Lawrence,Arkansas,72,31.6,89.1,28.6,-1111.1,37.8,5.9,2836,3248,855,40.8,17.5,1,2
Lee,Arkansas,67,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.3,2555,1498,399,34.6,17.3,1,2
Lincoln,Arkansas,44,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.3,1984,1448,373,7,0,2,1
Little River,Arkansas,42,25.9,-1111.1,22.1,-1111.1,33.7,6.7,2411,1952,459,30.2,30.2,2,2
Logan,Arkansas,76,34.5,80.3,29.5,-1111.1,34.3,8.1,3218,3516,1059,34.9,17.4,1,1
Lonoke,Arkansas,29,27.8,81.5,23.2,21.1,29.5,6.3,7148,5703,1461,21.4,18.1,1,2
Madison,Arkansas,43,28.3,76.4,22.4,-1111.1,31.5,4,2855,1929,565,33.4,20.1,1,2
Marion,Arkansas,71,30.3,76.4,23.1,26.1,28.4,8.3,2906,2726,762,17.9,17.9,2,2
Miller,Arkansas,52,34,80.5,31,27.5,28.1,9.7,7040,5041,1281,67.2,37.1,2,2
Mississippi,Arkansas,8,42.5,81.6,29.3,33,28.5,7,10149,5809,1826,56.4,23,2,2
Monroe,Arkansas,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.3,2198,1586,376,21.5,21.5,1,2
Montgomery,Arkansas,70,-1111.1,82,14,-1111.1,23.7,11.5,1862,1574,276,32.3,10.8,2,1
Nevada,Arkansas,75,32.2,-1111.1,-1111.1,-1111.1,26.4,1.9,1614,1484,407,31.4,10.5,2,1
Newton,Arkansas,74,26.5,-1111.1,29.2,-1111.1,30.1,5.8,1734,1199,469,23.7,0,1,1
Ouachita,Arkansas,36,33.4,80.7,27.6,37,22.6,6.6,4306,4559,1238,51.7,25.8,1,2
Perry,Arkansas,62,33.2,-1111.1,28.2,-1111.1,-1111.1,12.3,1536,1525,468,19.1,19.1,1,1
Phillips,Arkansas,51,45.2,79.6,28.9,-1111.1,20.9,8.8,6274,3517,971,45.6,20.7,1,2
Pike,Arkansas,62,30.8,81,23.5,-1111.1,-1111.1,2.9,2042,1725,347,45.3,18.1,2,1
Poinsett,Arkansas,76,42.5,79.9,29.7,-1111.1,42.6,12.4,4594,3635,1113,19.7,23.7,1,2
Polk,Arkansas,71,30.2,74.5,24.8,32.4,21.9,7.9,4393,3421,694,59.5,34.7,1,2
Pope,Arkansas,23,23.2,81.2,28.4,29.8,26.6,6.5,8198,6394,2000,79.5,40.7,2,2
Prairie,Arkansas,61,-1111.1,-1111.1,25.8,-1111.1,17.8,7.2,1249,1377,327,43.9,0,1,2
Pulaski,Arkansas,5,23.6,76.1,22.3,28.9,21,6.7,52197,41918,11095,165.1,58.7,1,2
Randolph,Arkansas,72,40.3,83.6,24.3,-1111.1,34.2,6.5,2858,2834,726,59.6,32.5,1,2
St. Francis,Arkansas,52,35.6,78.1,32.4,-1111.1,25.8,11.8,6002,3417,988,46.6,17.9,1,1
Saline,Arkansas,45,23.7,77.9,24.2,24.1,23.5,7.5,7970,7246,1776,48.3,16.4,2,2
Scott,Arkansas,70,34.4,91.5,20.7,-1111.1,28.4,10.2,2399,1690,597,17.9,26.9,2,1
Searcy,Arkansas,70,28.6,87.8,-1111.1,-1111.1,23.5,12.4,2118,1607,481,37.6,25.1,1,2
Sebastian,Arkansas,6,28,75.8,26.4,32.1,20.5,7.1,18572,13903,3931,125.5,55.6,1,2
Sevier,Arkansas,76,42.4,79.1,25.1,19.3,26.1,8.2,3682,1968,422,60.8,18.2,2,2
Sharp,Arkansas,72,35.2,76.5,23.7,-1111.1,26.1,6.7,3503,3935,885,34.5,17.2,2,2
Stone,Arkansas,70,29.4,76.7,21.6,-1111.1,22.8,9,2380,2097,602,42.7,17.1,2,2
Union,Arkansas,36,30,80.3,27,28.4,25.8,9.1,6517,6737,1872,95.1,33.9,1,2
Van Buren,Arkansas,71,35.4,76.4,29.6,-1111.1,28.8,8.2,2935,3410,646,30.2,24.2,1,1
Washington,Arkansas,14,21.9,77.6,18.6,24.6,21.4,5.5,26412,15960,4184,88.2,36.6,1,2
White,Arkansas,22,30.2,80.5,24.1,25.4,24.2,8.7,10331,9602,2200,58.9,30.8,1,2
Woodruff,Arkansas,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1711,1342,363,49.4,24.7,1,2
Yell,Arkansas,62,31.6,81,25.5,21,27.9,8.9,4389,3068,994,51.4,23.4,2,2
Alameda,California,1,20.7,69.3,18.4,21.4,15.6,5.3,201483,137472,21231,117.4,64.9,1,2
Alpine,California,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,252,123,25,0,0,2,2
Amador,California,26,-1111.1,-1111.1,11.2,-1111.1,-1111.1,5.4,4245,6433,835,75.4,46.8,2,2
Butte,California,6,25.8,78.8,23.7,26.7,17,4.3,37097,31037,6123,71,51.4,1,2
Calaveras,California,30,-1111.1,-1111.1,9,-1111.1,-1111.1,1.3,5932,7423,1131,42.7,23.5,1,1
Colusa,California,42,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4736,2295,410,42.7,23.7,1,2
Contra Costa,California,2,21,72.8,21.6,23.7,14.2,5.4,119080,107242,14932,97.2,59.8,1,2
Del Norte,California,51,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4711,3471,1029,76.6,45.3,1,1
El Dorado,California,12,14.2,67.8,24,20.4,14.9,4.8,21522,22572,3618,76.9,48.1,1,2
Fresno,California,3,25.8,74.3,27.7,25.1,14.6,7.4,202484,79906,14666,77.9,39.4,1,2
Glenn,California,33,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6275,3496,615,14.4,25.2,1,2
Humboldt,California,6,22.3,-1111.1,23.8,20.4,20.1,8.5,21154,15737,4344,89.6,60.8,1,2
Imperial,California,7,-1111.1,-1111.1,-1111.1,-1111.1,6.6,13,43126,16132,2693,32.1,16.7,1,2
Inyo,California,81,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2941,3361,419,121.2,49.6,1,2
Kern,California,3,30.4,76.3,26.5,27.5,21.4,9,152346,63074,15615,62.2,27.7,1,2
Kings,California,7,23.1,-1111.1,25.4,-1111.1,12.6,4.6,27328,9422,2008,37,30,1,2
Lake,California,24,-1111.1,-1111.1,-1111.1,-1111.1,19.2,6.2,11580,10272,2566,62.9,30.7,1,2
Lassen,California,32,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4118,3171,801,51.8,63.3,1,2
Los Angeles,California,1,27.3,71.6,21.3,24.2,16.7,6.7,2167891,911590,118190,93.9,51.1,1,2
Madera,California,7,25.8,-1111.1,-1111.1,-1111.1,15.5,10.4,29874,16057,3034,53.2,25.2,1,2
Marin,California,11,8.3,66,9.9,23,12,2.8,23521,32943,3009,167.2,100.4,1,2
Mariposa,California,58,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2760,2793,476,38.7,27.7,1,2
Mendocino,California,23,11.5,-1111.1,-1111.1,-1111.1,-1111.1,10.7,16199,11718,2743,105.5,56.7,1,2
Merced,California,7,34.6,-1111.1,28.7,20.6,19.8,7.5,52448,17668,3350,51.3,28.1,1,2
Modoc,California,85,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1853,1520,306,52.5,31.5,1,2
Mono,California,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2270,808,95,71.9,40,2,2
Monterey,California,5,30.4,72.2,24.4,20.7,17,4.7,80153,38413,5337,73.5,52.2,1,2
Napa,California,13,19.1,-1111.1,19.7,-1111.1,12.2,6.1,17325,18945,3091,106.2,61.8,1,2
Nevada,California,18,17.4,-1111.1,12.9,-1111.1,8.5,8.3,12295,14956,2035,97.6,63,2,2
Orange,California,1,18.5,74.3,17.7,20,14.4,4.2,509324,281334,27747,105,60.2,1,2
Placer,California,12,11.3,68.6,17.3,21.1,15,5.7,31044,35693,4251,104.7,59.3,2,2
Plumas,California,40,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3107,3482,656,97.8,55.9,2,2
Riverside,California,1,28,72.2,23.4,24.9,16.3,6.8,320908,192964,26996,45.7,27,1,2
Sacramento,California,1,18.4,73.3,20.8,25.3,17.2,6.4,198250,133617,27079,90.9,53,1,2
San Benito,California,29,-1111.1,-1111.1,-1111.1,-1111.1,6,-1111.1,10002,4224,620,39.3,25,2,2
San Bernardino,California,1,28.6,77.2,25.7,26.4,17.8,7.8,351853,148115,31133,60.2,35.2,1,2
San Diego,California,1,22.5,73.2,20.3,24.7,14.6,5.6,488866,310855,39312,91.5,58,1,2
San Francisco,California,3,21.8,69.3,10.5,20.8,17.8,3.7,102303,103470,14367,243.3,126.4,1,2
San Joaquin,California,3,27.6,67.5,25,28.8,16.9,6.4,109891,59105,12202,66.6,39.8,1,2
San Luis Obispo,California,16,14.2,75.9,19.1,24.9,12.6,5.5,36997,34939,5171,92,51.7,1,2
San Mateo,California,2,18.8,71,14.4,21.6,16.8,4.2,84134,84402,7789,119.4,78.3,1,2
Santa Barbara,California,4,20.4,71.5,17.4,28.5,12.9,5.7,71837,49254,6992,96.8,68.6,1,2
Santa Clara,California,1,18.4,71.4,17.4,22.6,10.9,5.9,196918,156358,16757,123.4,76,1,2
Santa Cruz,California,14,16.8,64.9,17.9,17.7,11.3,6.9,41479,24187,3875,101.7,62.5,1,2
Shasta,California,6,12.5,73.1,23.2,27.6,22.9,5.6,27365,26869,6931,81.7,51.1,1,2
Sierra,California,79,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,441,587,90,0,29.1,2,2
Siskiyou,California,34,11.6,-1111.1,-1111.1,-1111.1,-1111.1,8.7,8229,8300,1496,81.8,46.4,1,2
